month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
19-Apr,"1,141",12.1,17.6,7.2,47.3,"8,230","3,209","31,506","186,430,272",0,0,21190000
19-May,"1,183",19.4,25.6,13.7,37.8,"8,030","3,594","35,946","212,231,383",0,0,21190000
19-Jun,"1,176",22.5,27.7,18.1,74,"8,720","3,833","22,506","115,781,904",0,0,21190000
19-Jul,"1,175",25.9,30.1,22.7,194.4,"9,270","4,547","23,711","128,320,575",0,2350,21190000
19-Aug,"1,209",27.2,31.6,23.6,190.5,"9,930","4,934","23,339","128,475,594",0,0,21190000
19-Sep,"1,198",22.6,27.1,19,139.8,"10,750","4,740","22,276","124,322,450",0,0,21190000
19-Oct,"1,184",16.4,21.8,11.8,55.5,"9,860","4,561","186,965","105,149,856",0,0,21190000
19-Nov,"1,167",7.6,12.9,3.1,78.8,"10,560","5,408","27,242","177,427,179",0,0,21190000
19-Dec,"1,176",1.4,5.3,2.6,22.6,"9,800","5,084","46,939","286,715,856",0,0,21190000
20-Jan,"1,164",1.6,5.9,1.7,60.5,"14,660","7,670","21,649","183,391,692",0,0,20285333.33
20-Feb,"1,194",2.5,7.2,1.3,53.1,"17,610","11,035","24,337","221,390,286",0,0,20285333.33
20-Mar,"1,220",7.7,13.3,2.6,16.3,"15,670","7,076","44,628","325,672,900",0,0,20285333.33
20-Apr,"1,225",11.1,16.6,6.3,16.9,"9,230","3,478","48,611","267,362,375",0,0,20285333.33
20-May,"1,229",18,23.3,13.7,112.4,"7,820","3,441","16,805","257,764,315",0,0,20285333.33
20-Jun,"1,210",23.9,29,19.9,139.6,"7,970","3,663","46,872","231,399,190",0,0,20285333.33
20-Jul,"1,199",24.1,28,21.1,270.4,"9,970","4,594","53,663","265,178,034",0,0,20285333.33
20-Aug,"1,187",26.5,29.3,24.4,675.7,"12,260","5,805","38,594","210,804,078",0,0,20285333.33
20-Sep,"1,179",21.4,25.6,18,181.5,"15,750","9,704","29,026","227,004,660",0,0,20285333.33
20-Oct,"1,145",14.3,19.5,9.6,0,"12,790","6,165","35,177","243,961,715",0,0,20285333.33
20-Nov,"1,117",8,12.6,4,120.1,"9,890","4,161","56,723","404,552,826",1,14521,20285333.33
20-Dec,"1,095",0.3,3.9,4.2,4.6,"8,440","3,538","63,368","377,779,380",0,0,20285333.33
21-Jan,"1,097",2.4,2.2,6.8,18.9,"11,340","6,655","44,978","308,196,665",1,1097,21761000
21-Feb,"1,112",2.7,7.9,2.2,7.1,"17,540","10,090","30,329","264,769,424",1,11120,21761000
21-Mar,"1,131",9,14.8,4.3,110.9,"13,390","6,355","56,498","383,347,926",0,0,21761000
21-Apr,"1,119",14.2,19.5,9.5,124.1,"9,650","3,585","48,175","288,945,942",1,2238,21761000
21-May,"1,123",17.1,21.9,12.8,183.1,"8,880","3,599","51,766","321,939,394",1,40428,21761000
21-Jun,"1,121",22.8,27.6,18.9,104.6,"9,940","5,262","48,633","310,995,667",5,19057,21761000
21-Jul,"1,144",28.1,32.2,24.6,168.3,"11,030","4,932","51,410","275,119,416","2,000","12,702,976",21761000
21-Aug,"1,160",25.9,29.7,22.8,211.2,"8,910","3,100","37,969","204,003,400",0,0,21761000
21-Sep,"1,170",22.6,26.9,18.8,131,"8,950","2,830","26,946","134,111,250",0,0,21761000
21-Oct,"1,183",15.6,20.5,11.6,57,"8,670","4,129","38,753","180,735,191",0,0,21761000
21-Nov,"1,183",8.2,13.1,4,62.4,"9,730","4,224","46,781","252,861,518",0,0,21761000
21-Dec,"1,184",0.6,5.1,3.5,7.9,"9,000","4,164","54,622","317,879,136",0,0,21761000
22-Jan,"1,194",2.2,2.6,6.2,5.5,"13,200","7,653","26,477","204,035,496",0,0,17920833.33
22-Feb,"1,198",1.1,3.8,5.3,4.7,"13,170","6,608","34,467","277,154,904",0,0,17920833.33
22-Mar,"1,221",7.7,12.7,3.2,102.6,"10,870","4,633","44,417","310,507,626",0,0,17920833.33
22-Apr,"1,232",14.8,20.6,10,20.4,"9,110","3,709","37,787","234,990,448",0,0,17920833.33
22-May,"1,270",19.1,25,13.9,7.5,"9,200","4,448","40,493","255,247,140",1,5080,17920833.33
22-Jun,"1,277",23.3,27.5,19.8,393.8,"11,000","5,865","31,868","187,037,082",0,0,17920833.33
22-Jul,"1,307",27.3,31,24.2,252.3,"15,510","8,247","29,273","209,390,549",0,0,17920833.33
22-Aug,"1,318",25.7,28.9,23.1,564.8,"11,940","6,098","14,794","104,596,480",0,0,17920833.33
22-Sep,"1,392",22.4,27.2,18.2,201.5,"14,020","7,953","12,491","96,061,920",0,0,17920833.33
22-Oct,"1,427",14.6,19.7,10.3,124.1,"11,680","5,786","26,788","160,048,039",0,0,17920833.33
22-Nov,"1,364",10,15.4,5.6,84.5,"10,710","4,703","35,213","202,279,836",1,21824,17920833.33
22-Dec,"1,296",2.8,1.7,6.6,13.6,"10,660","5,566","30,971","198,762,336",0,0,17920833.33
23-Jan,"1,247",1.5,3.2,5.7,47.9,"14,690","8,933","27,875","223,256,645",7,22446,5138750
23-Feb,"1,271",2.3,7.3,1.9,1,"22,350","15,334","22,940","268,693,213",5,29233,5138750
23-Mar,"1,306",9.8,16.2,4.2,10.5,"19,490","9,348","38,561","380,244,512",0,0,5138750
23-Apr,"1,320",13.8,19,8.8,96.9,"11,080","4,614","34,546","234,820,080",0,0,5138750
23-May,"1,328",19.5,25,14.6,155.6,"11,080","5,255","33,474","220,855,696",1,6640,5138750
23-Jun,"1,297",23.4,27.9,19.7,195.6,"11,260","5,641","19,754","123,829,778",3,28534,5138750
23-Jul,"1,286",26.7,30.2,23.9,459.9,"12,220",0,"16,573","105,998,550",0,0,5138750
23-Aug,"1,318",27.2,30.8,24.3,298.1,"10,210",0,"10,523","81,930,834",10,52720,5138750
23-Sep,"1,329",23.7,27.6,20.2,134.5,"14,460",0,"11,561","92,292,405","5,522","7,245,708",5138750
23-Oct,"1,351",15.8,21,11.5,31,"13,980",0,"14,888","107,742,250",0,0,5138750
23-Nov,"1,310",6.8,11.5,2.9,81.9,"12,350",0,"19,884","127,528,500",0,0,5138750
23-Dec,"1,304",1.1,5.2,2.5,85.9,"12,000",0,"25,624","174,677,320","5,520","7,095,064",5138750
24-Jan,1323.57,0.5,3.6,3.9,18.9,"15,900",0,"24,167","256,364,920",0,0,0
24-Feb,1331.74,3.8,8.2,0.2,74.7,"24,010",0,"17,198","241,596,280",1,1331.74,0
24-Mar,1330.7,6.8,11.7,2.4,29.9,"21,330",0,0,0,0,0,0
