month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
16-Sep,"1,107",23.1,27.9,19.3,33,"2,944","1,158","15,480","13,990,266","300,298","73,966,419",84346833.33
16-Oct,"1,125",16.1,21.3,11.6,74.8,"3,347","1,238","42,310","34,993,125","849,000","173,701,125",84346833.33
16-Nov,"1,162",6.8,11.6,2.8,16.7,"2,531",789,"84,039","69,040,230","1,501,348","336,679,042",84346833.33
16-Dec,"1,182",1.2,5.8,2.7,61.1,"2,710","1,208","210,160","214,978,614","888,520","232,988,748",84346833.33
17-Jan,"1,185",1.8,2.9,5.8,14.9,"2,797",948,"226,137","210,576,870","1,046,830","243,957,135",96581583.33
17-Feb,"1,145",0.2,4.8,4.7,11.1,"2,353",844,"443,853","330,018,770","569,040","119,866,615",96581583.33
17-Mar,"1,135",6.3,12.3,1.7,7.9,"2,188",738,"320,905","218,709,960","1,075,800","258,816,320",96581583.33
17-Apr,"1,133",13.9,20,9.1,61.6,"2,063",701,"197,833","135,761,725","419,100","92,576,297",96581583.33
17-May,"1,125",19.5,25.4,14.4,16.1,"1,942",677,"22,369","23,981,625",0,6750,96581583.33
17-Jun,"1,130",23.3,28.8,18.7,66.6,"1,796",514,"32,020","48,867,980","33,376","16,905,930",96581583.33
17-Jul,"1,134",26.9,30.4,24.3,621,"1,965",627,"7,258","7,358,526","119,120","37,460,556",96581583.33
17-Aug,"1,131",25.9,29.7,22.9,297,"2,786",954,"16,609","16,937,856",120,31668,96581583.33
17-Sep,"1,132",22.1,27.4,17.5,35,"2,719",846,"28,620","31,184,336","47,260","9,602,756",96581583.33
17-Oct,"1,132",16.4,22.5,11.6,26.5,"1,798",396,"65,273","54,520,516","86,584","21,325,748",96581583.33
17-Nov,"1,105",5.6,10.5,1.3,40.7,"1,392",385,"580,984","329,768,465","40,000","10,100,805",96581583.33
17-Dec,"1,086",1.9,2.2,5.7,34.8,"1,519",421,"1,082,129","562,206,996","230,320","55,971,354",96581583.33
18-Jan,"1,067",4,0.1,7.3,8.5,"1,617",453,"1,178,280","541,616,669","24,000","6,124,580",102880083.3
18-Feb,"1,080",1.6,3.3,5.9,29.6,"2,449",838,"183,622","115,930,440","38,880","13,398,480",102880083.3
18-Mar,"1,072",8.1,13.6,3.8,49.5,"2,702",938,"58,820","53,896,944","131,076","44,924,304",102880083.3
18-Apr,"1,068",13,18.5,8.1,130.3,"2,602","1,018","7,979","9,750,840","420,000","118,385,664",102880083.3
18-May,"1,076",18.2,23.3,13.4,222,"2,899","1,104","31,702","55,382,796","65,684","26,849,428",102880083.3
18-Jun,"1,093",23.1,28.4,18.9,171.5,"2,190",647,"7,644","8,150,501","12,672","6,218,077",102880083.3
18-Jul,"1,123",27.8,32.1,24.2,185.6,"2,203","1,054","16,384","16,322,805",0,0,102880083.3
18-Aug,"1,121",28.8,33.3,25.2,202.6,"3,589","1,377","14,260","18,178,136","212,672","86,192,569",102880083.3
18-Sep,"1,121",21.5,26,17.6,68.5,"3,611","1,294","11,566","17,132,243","108,992","49,984,269",102880083.3
18-Oct,"1,131",13.1,18.6,8.5,120.5,"2,732",615,"43,593","51,410,736","267,900","86,496,618",102880083.3
18-Nov,"1,129",7.8,13.2,3.6,79.1,"1,679",449,"666,525","421,767,304","301,960","77,348,919",102880083.3
18-Dec,"1,123",0.6,4.1,4.7,16.4,"1,497",381,"1,700,261","1,466,643,615","146,403","40,468,428",102880083.3
19-Jan,"1,122",0.9,4.1,5.1,0,"1,421",387,"1,637,274","848,908,566","328,000","80,096,214",92572833.33
19-Feb,"1,122",1,6,3.2,23.8,"1,370",405,"780,681","393,000,696","164,000","37,330,062",92572833.33
19-Mar,"1,131",7.1,12.4,2.7,26.8,"1,320",365,"446,161","222,078,636","362,000","82,314,180",92572833.33
19-Apr,"1,141",12.1,17.6,7.2,47.3,"1,332",395,"153,300","79,331,448","117,150","29,288,329",92572833.33
19-May,"1,183",19.4,25.6,13.7,37.8,"1,596",432,"235,507","143,273,130",0,0,92572833.33
19-Jun,"1,176",22.5,27.7,18.1,74,"1,627",461,"232,730","152,955,264",30,391608,92572833.33
19-Jul,"1,175",25.9,30.1,22.7,194.4,"1,613",424,"191,820","223,465,025",0,0,92572833.33
19-Aug,"1,209",27.2,31.6,23.6,190.5,"1,572",452,"76,622","79,176,201",0,0,92572833.33
19-Sep,"1,198",22.6,27.1,19,139.8,"1,969",659,"41,587","48,248,252","46,200","16,165,812",92572833.33
19-Oct,"1,184",16.4,21.8,11.8,55.5,"2,725","1,058","22,183","29,861,664","235,300","86,857,056",92572833.33
19-Nov,"1,167",7.6,12.9,3.1,78.8,"2,595","1,056","57,557","74,234,037","1,369,720","425,135,766",92572833.33
19-Dec,"1,176",1.4,5.3,2.6,22.6,"2,866","1,357","297,751","294,663,264","1,392,000","412,927,704",92572833.33
20-Jan,"1,164",1.6,5.9,1.7,60.5,"3,104","1,154","708,304","635,395,008","1,128,000","342,346,368",98219250
20-Feb,"1,194",2.5,7.2,1.3,53.1,"2,091",562,"1,698,848","1,090,739,298","409,400","219,593,316",98219250
20-Mar,"1,220",7.7,13.3,2.6,16.3,"1,715",487,"1,178,046","825,702,100","361,200","85,071,820",98219250
20-Apr,"1,225",11.1,16.6,6.3,16.9,"1,599",477,"454,716","339,834,600","82,000","38,572,800",98219250
20-May,"1,229",18,23.3,13.7,112.4,"1,541",444,"441,694","360,196,549","68,000","14,234,278",98219250
20-Jun,"1,210",23.9,29,19.9,139.6,"1,649",601,"460,113","313,803,820",0,0,98219250
20-Jul,"1,199",24.1,28,21.1,270.4,"1,922",695,"75,303","70,419,668","75,000","21,076,022",98219250
20-Aug,"1,187",26.5,29.3,24.4,675.7,"2,495",956,"60,574","47,043,184","68,000","13,047,504",98219250
20-Sep,"1,179",21.4,25.6,18,181.5,"3,751","1,368","16,713","47,863,863","19,300","14,269,437",98219250
20-Oct,"1,145",14.3,19.5,9.6,0,"3,198",865,"28,208","78,011,140","192,400","59,946,475",98219250
20-Nov,"1,117",8,12.6,4,120.1,"2,077",548,"451,981","311,085,617","194,000","43,468,055",98219250
20-Dec,"1,095",0.3,3.9,4.2,4.6,"1,842",555,"1,314,837","835,831,020","2,516,401","503,970,465",98219250
21-Jan,"1,097",2.4,2.2,6.8,18.9,"1,995",737,"975,235","569,344,097","1,925,400","398,954,766",97695416.67
21-Feb,"1,112",2.7,7.9,2.2,7.1,"1,863",515,"1,158,294","685,949,432","1,622,000","330,699,904",97695416.67
21-Mar,"1,131",9,14.8,4.3,110.9,"1,535",437,"842,855","517,821,564","1,850,004","391,172,184",97695416.67
21-Apr,"1,119",14.2,19.5,9.5,124.1,"1,445",468,"269,007","135,782,817","986,931","201,171,582",97695416.67
21-May,"1,123",17.1,21.9,12.8,183.1,"1,587",436,"98,443","57,880,543","176,760","56,559,895",97695416.67
21-Jun,"1,121",22.8,27.6,18.9,104.6,"1,643",507,"76,773","56,495,037","10,400","5,536,619",97695416.67
21-Jul,"1,144",28.1,32.2,24.6,168.3,"1,762",649,"151,016","130,752,336","48,000","20,662,928",97695416.67
21-Aug,"1,160",25.9,29.7,22.8,211.2,"2,183",680,"113,721","116,591,600","126,000","31,973,080",97695416.67
21-Sep,"1,170",22.6,26.9,18.8,131,"2,046",568,"11,048","22,910,940","96,000","45,864,000",97695416.67
21-Oct,"1,183",15.6,20.5,11.6,57,"1,788",566,"27,854","32,202,443",0,0,97695416.67
21-Nov,"1,183",8.2,13.1,4,62.4,"1,773",629,"146,155","137,920,055","129,980","45,835,335",97695416.67
21-Dec,"1,184",0.6,5.1,3.5,7.9,"1,794",557,"574,121","493,936,384","722,291","184,217,376",97695416.67
22-Jan,"1,194",2.2,2.6,6.2,5.5,"1,711",612,"709,862","576,961,098","830,000","209,552,970",99217500
22-Feb,"1,198",1.1,3.8,5.3,4.7,"1,704",595,"452,701","397,216,068",102,"38,018,530",99217500
22-Mar,"1,221",7.7,12.7,3.2,102.6,"1,663",576,"532,398","455,700,399","51,001","16,361,400",99217500
22-Apr,"1,232",14.8,20.6,10,20.4,"1,631",576,"228,111","184,128,560","323,850","95,641,392",99217500
22-May,"1,270",19.1,25,13.9,7.5,"1,939",757,"39,442","47,083,980","87,000","34,554,160",99217500
22-Jun,"1,277",23.3,27.5,19.8,393.8,"2,076",793,"101,524","75,085,046",0,0,99217500
22-Jul,"1,307",27.3,31,24.2,252.3,"2,535","1,156","44,873","52,289,149",0,0,99217500
22-Aug,"1,318",25.7,28.9,23.1,564.8,"3,132","1,290","22,066","53,492,348","56,880","21,814,218",99217500
22-Sep,"1,392",22.4,27.2,18.2,201.5,"3,843","1,763","5,298","12,309,456","96,000","64,449,600",99217500
22-Oct,"1,427",14.6,19.7,10.3,124.1,"3,664","1,326","21,794","51,256,413","592,000","240,493,737",99217500
22-Nov,"1,364",10,15.4,5.6,84.5,"2,615",919,"97,586",624712,"152,410","87,012,288",99217500
22-Dec,"1,296",2.8,1.7,6.6,13.6,"1,976",619,"1,186,546","1,007,869,392","170,000","67,582,512",99217500
23-Jan,"1,247",1.5,3.2,5.7,47.9,"1,840",701,"1,938,780","1,447,767,000","398,000","145,320,392",40558166.67
23-Feb,"1,271",2.3,7.3,1.9,1,"2,012",798,"846,994","643,094,225","219,440","90,193,973",40558166.67
23-Mar,"1,306",9.8,16.2,4.2,10.5,"1,919",737,"479,776","389,961,152","160,004","57,325,564",40558166.67
23-Apr,"1,320",13.8,19,8.8,96.9,"1,986",832,"164,767","149,681,400","116,000","48,090,240",40558166.67
23-May,"1,328",19.5,25,14.6,155.6,"2,275",931,"49,021","45,979,344","34,400","19,032,896",40558166.67
23-Jun,"1,297",23.4,27.9,19.7,195.6,"1,904",785,"134,739","102,251,589","96,001","65,747,524",40558166.67
23-Jul,"1,286",26.7,30.2,23.9,459.9,"2,014",0,"45,712","46,581,492","34,000","10,056,520",40558166.67
23-Aug,"1,318",27.2,30.8,24.3,298.1,"2,706",0,"8,883","15,296,708","48,000","28,629,596",40558166.67
23-Sep,"1,329",23.7,27.6,20.2,134.5,"2,395",0,"39,617","42,856,263","24,000","13,077,360",40558166.67
23-Oct,"1,351",15.8,21,11.5,31,"2,358",0,"14,466","20,550,061","24,000","14,266,560",40558166.67
23-Nov,"1,310",6.8,11.5,2.9,81.9,"1,527",0,"1,139,939","1,075,210,010","81,501","38,261,170",40558166.67
23-Dec,"1,304",1.1,5.2,2.5,85.9,"1,614",0,"1,627,813","1,421,123,976","72,000","30,435,360",40558166.67
24-Jan,1323.57,0.5,3.6,3.9,18.9,"1,596",0,"987,081","823,276,423","702,000","198,121,223",0
24-Feb,1331.74,3.8,8.2,0.2,74.7,"1,705",0,"505,666","389,800,298","1,095,000","270,455,086",0
24-Mar,1330.7,6.8,11.7,2.4,29.9,"1,875",0,0,0,0,0,0
