month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
16-Oct,"1,125",16.1,21.3,11.6,74.8,"10,366","6,755",510,"4,308,750","2,281,153","4,618,820,250",22962416.67
16-Nov,"1,162",6.8,11.6,2.8,16.7,"10,247","7,041",600,"2,168,292","3,703,200","8,138,085,592",22962416.67
16-Dec,"1,182",1.2,5.8,2.7,61.1,"10,394","7,128",50,"2,080,320","3,873,330","6,601,058,664",22962416.67
17-Jan,"1,185",1.8,2.9,5.8,14.9,"10,313","7,082",0,0,"2,868,552","5,731,136,370",25298166.67
17-Feb,"1,145",0.2,4.8,4.7,11.1,"10,407","7,099",600,"2,598,005","1,269,380","2,982,466,230",25298166.67
17-Mar,"1,135",6.3,12.3,1.7,7.9,"10,223","6,887",0,0,"2,117,960","4,803,384,695",25298166.67
17-Apr,"1,133",13.9,20,9.1,61.6,"10,073","6,761",0,0,"1,645,780","3,897,778,324",25298166.67
17-May,"1,125",19.5,25.4,14.4,16.1,"10,249","6,512",0,0,"2,315,988","4,818,674,250",25298166.67
17-Jun,"1,130",23.3,28.8,18.7,66.6,"9,870","6,253",0,0,"4,475,110","9,584,890,520",25298166.67
17-Jul,"1,134",26.9,30.4,24.3,621,"9,504","6,174",310,"3,150,252","3,651,967","6,921,240,858",25298166.67
17-Aug,"1,131",25.9,29.7,22.9,297,"9,564","6,068","6,302","13,220,259","1,909,066","3,275,154,324",25298166.67
17-Sep,"1,132",22.1,27.4,17.5,35,"9,861","6,100",0,0,"1,824,876","2,840,074,800",25298166.67
17-Oct,"1,132",16.4,22.5,11.6,26.5,"9,783","6,236",3,12452,"1,746,240","2,117,810,124",25298166.67
17-Nov,"1,105",5.6,10.5,1.3,40.7,"9,550","6,301",0,0,"3,806,560","4,315,564,240",25298166.67
17-Dec,"1,086",1.9,2.2,5.7,34.8,"9,550","6,237",350,1019754,"2,768,900","3,483,662,112",25298166.67
18-Jan,"1,067",4,0.1,7.3,8.5,"9,655","6,256",230,"3,271,422","4,855,134","7,151,200,452",27645083.33
18-Feb,"1,080",1.6,3.3,5.9,29.6,"9,647","6,557",841,"14,873,760","2,816,210","2,801,688,480",27645083.33
18-Mar,"1,072",8.1,13.6,3.8,49.5,"9,582","6,601",670,"6,364,464","2,851,493","3,317,903,248",27645083.33
18-Apr,"1,068",13,18.5,8.1,130.3,"9,736","6,707",636,"8,190,492","2,897,284","3,062,181,348",27645083.33
18-May,"1,076",18.2,23.3,13.4,222,"9,923","6,661",862,"12,759,208","2,656,382","2,645,073,772",27645083.33
18-Jun,"1,093",23.1,28.4,18.9,171.5,"9,777","6,564",439,"5,861,759","2,099,068","2,178,506,392",27645083.33
18-Jul,"1,123",27.8,32.1,24.2,185.6,"9,464","5,779",550,"6,222,543","1,794,926","1,848,097,517",27645083.33
18-Aug,"1,121",28.8,33.3,25.2,202.6,"9,257","5,579",494,"6,279,842","5,708,860","6,496,492,065",27645083.33
18-Sep,"1,121",21.5,26,17.6,68.5,"9,109","5,487",664,"9,528,500","1,916,550","1,749,211,763",27645083.33
18-Oct,"1,131",13.1,18.6,8.5,120.5,"9,058","5,618",807,"8,509,644","2,300,536","2,175,366,531",27645083.33
18-Nov,"1,129",7.8,13.2,3.6,79.1,"8,708","5,789",901,"11,845,468","2,563,244","2,207,139,679",27645083.33
18-Dec,"1,123",0.6,4.1,4.7,16.4,"8,916","5,717","1,037","11,413,049","1,786,626","1,631,094,612",27645083.33
19-Jan,"1,122",0.9,4.1,5.1,0,"9,216","5,468",720,"10,077,804","2,853,525","2,497,696,542",32305916.67
19-Feb,"1,122",1,6,3.2,23.8,"9,489","5,470",481,"7,269,438","9,931,537","7,799,697,444",32305916.67
19-Mar,"1,131",7.1,12.4,2.7,26.8,"9,465","5,559",476,"5,864,235","1,559,510","1,541,407,101",32305916.67
19-Apr,"1,141",12.1,17.6,7.2,47.3,"9,662","5,583",894,"10,250,744","2,959,190","2,785,188,987",32305916.67
19-May,"1,183",19.4,25.6,13.7,37.8,"9,233","5,494",930,"9,773,946","2,271,820","2,451,603,063",32305916.67
19-Jun,"1,176",22.5,27.7,18.1,74,"9,173","4,838",452,"7,428,792","1,223,370","1,508,806,824",32305916.67
19-Jul,"1,175",25.9,30.1,22.7,194.4,"7,879","4,153",836,"10,920,450","2,217,240","2,475,922,400",32305916.67
19-Aug,"1,209",27.2,31.6,23.6,190.5,"7,235","3,945","20,427","99,214,167","6,513,040","6,493,595,823",32305916.67
19-Sep,"1,198",22.6,27.1,19,139.8,"7,107","3,925",467,"7,639,646","1,252,630","1,651,832,350",32305916.67
19-Oct,"1,184",16.4,21.8,11.8,55.5,"7,130","3,934","11,319","60,646,848","1,517,200","2,081,511,072",32305916.67
19-Nov,"1,167",7.6,12.9,3.1,78.8,"6,908","4,013","23,841","113,643,627","1,797,810","2,206,486,578",32305916.67
19-Dec,"1,176",1.4,5.3,2.6,22.6,"7,141","3,994","28,068","130,721,808","2,403,450","2,939,878,872",32305916.67
20-Jan,"1,164",1.6,5.9,1.7,60.5,"6,905","3,843",603,"9,528,504","4,087,160","4,368,439,620",30286000
20-Feb,"1,194",2.5,7.2,1.3,53.1,"7,032","3,606",393,"6,350,886","1,167,600","1,491,384,804",30286000
20-Mar,"1,220",7.7,13.3,2.6,16.3,"6,735","3,519","1,236","12,380,560","4,202,880","5,052,683,680",30286000
20-Apr,"1,225",11.1,16.6,6.3,16.9,"6,757","3,499","1,393","16,268,000","1,913,842","2,511,566,050",30286000
20-May,"1,229",18,23.3,13.7,112.4,"7,024","3,737","1,055","17,230,580","1,648,900","2,401,548,343",30286000
20-Jun,"1,210",23.9,29,19.9,139.6,"7,154","4,000",573,"8,515,980","1,574,260","2,001,326,690",30286000
20-Jul,"1,199",24.1,28,21.1,270.4,"7,770","4,885","2,452","19,701,968","1,187,490","1,432,572,394",30286000
20-Aug,"1,187",26.5,29.3,24.4,675.7,"9,732","6,543",628,"10,521,568","1,447,990","1,554,358,695",30286000
20-Sep,"1,179",21.4,25.6,18,181.5,"10,203","6,583","2,174","20,367,225","2,746,290","2,978,204,697",30286000
20-Oct,"1,145",14.3,19.5,9.6,0,"10,292","6,575","12,221","78,164,570","2,632,060","2,797,777,730",30286000
20-Nov,"1,117",8,12.6,4,120.1,"9,939","3,843","15,521","83,777,234","4,149,066","4,230,378,356",30286000
20-Dec,"1,095",0.3,3.9,4.2,4.6,"9,882","6,575","1,710","15,955,245","2,986,512","2,925,305,640",30286000
21-Jan,"1,097",2.4,2.2,6.8,18.9,"9,897","6,575","1,729","19,002,234","4,426,490","4,194,480,424",25711000
21-Feb,"1,112",2.7,7.9,2.2,7.1,"10,053","6,854",543,"9,109,504","1,594,220","1,667,203,808",25711000
21-Mar,"1,131",9,14.8,4.3,110.9,"10,413","6,985",0,0,"3,669,290","3,612,363,105",25711000
21-Apr,"1,119",14.2,19.5,9.5,124.1,"11,388","7,234",202,"3,725,151","4,276,434","3,862,756,668",25711000
21-May,"1,123",17.1,21.9,12.8,183.1,"11,636","7,281","1,600","8,428,115","3,297,460","3,046,720,337",25711000
21-Jun,"1,121",22.8,27.6,18.9,104.6,"11,519","7,083",450,"3,467,253","5,019,032","4,493,119,335",25711000
21-Jul,"1,144",28.1,32.2,24.6,168.3,"11,724","7,446","1,162","9,542,104","2,341,080","2,512,524,872",25711000
21-Aug,"1,160",25.9,29.7,22.8,211.2,"12,127","7,837",104,"2,070,600","3,003,470","3,106,122,720",25711000
21-Sep,"1,170",22.6,26.9,18.8,131,"12,144","7,661",200,675090,"2,861,310","3,008,266,560",25711000
21-Oct,"1,183",15.6,20.5,11.6,57,"12,137","7,648","1,012","8,124,844","1,433,595","1,758,675,009",25711000
21-Nov,"1,183",8.2,13.1,4,62.4,"11,844","7,997","1,300","4,611,334","1,824,120","2,237,379,508",25711000
21-Dec,"1,184",0.6,5.1,3.5,7.9,"12,556","8,178","1,505","12,997,952","2,045,180","2,587,884,192",25711000
22-Jan,"1,194",2.2,2.6,6.2,5.5,"12,117","8,018",80,167160,"4,335,780","4,666,826,610",22729916.67
22-Feb,"1,198",1.1,3.8,5.3,4.7,"12,317","7,910",915,"12,826,986","2,362,230","2,882,396,386",22729916.67
22-Mar,"1,221",7.7,12.7,3.2,102.6,"12,168","8,033","1,512","9,943,824","1,816,920","2,377,941,456",22729916.67
22-Apr,"1,232",14.8,20.6,10,20.4,"12,814","8,447","1,521","5,451,600","3,100,710","3,842,131,216",22729916.67
22-May,"1,270",19.1,25,13.9,7.5,"13,163","8,480","1,337","10,026,650","3,367,240","4,184,007,380",22729916.67
22-Jun,"1,277",23.3,27.5,19.8,393.8,"13,279","8,527",706,"22,212,138","4,106,310","5,077,463,099",22729916.67
22-Jul,"1,307",27.3,31,24.2,252.3,"13,313","8,580",147,"2,718,560","4,749,730","5,729,733,774",22729916.67
22-Aug,"1,318",25.7,28.9,23.1,564.8,"13,399","8,544",56,1124254,"5,650,492","7,352,818,860",22729916.67
22-Sep,"1,392",22.4,27.2,18.2,201.5,"13,395","8,196",565,"7,591,968","3,438,330","4,357,715,856",22729916.67
22-Oct,"1,427",14.6,19.7,10.3,124.1,"13,498","8,100","1,016","3,678,806","4,830,420","5,947,539,074",22729916.67
22-Nov,"1,364",10,15.4,5.6,84.5,"11,970","8,088",407,"4,608,956","3,103,760","4,045,570,804",22729916.67
22-Dec,"1,296",2.8,1.7,6.6,13.6,"12,234","8,079",872,"8,120,736","4,863,560","5,479,662,960",22729916.67
23-Jan,"1,247",1.5,3.2,5.7,47.9,"12,682","8,055",223,"3,964,213","5,051,810","5,563,741,147",26518333.33
23-Feb,"1,271",2.3,7.3,1.9,1,"13,102","8,076",200,681256,"2,322,250","2,673,388,354",26518333.33
23-Mar,"1,306",9.8,16.2,4.2,10.5,"12,422","7,990","1,272","13,477,920","2,572,450","2,956,194,994",26518333.33
23-Apr,"1,320",13.8,19,8.8,96.9,"12,253","7,727","10,520","200,781,240","4,180,560","4,393,198,920",26518333.33
23-May,"1,328",19.5,25,14.6,155.6,"11,271","6,199",891,"3,436,864","2,390,142","2,918,878,928",26518333.33
23-Jun,"1,297",23.4,27.9,19.7,195.6,"10,244","5,788",52,320359,"2,307,500","3,009,539,345",26518333.33
23-Jul,"1,286",26.7,30.2,23.9,459.9,"9,759",0,450,"5,417,918","3,005,350","3,457,826,378",26518333.33
23-Aug,"1,318",27.2,30.8,24.3,298.1,"9,812",0,500,"1,987,544","1,551,620","2,331,039,842",26518333.33
23-Sep,"1,329",23.7,27.6,20.2,134.5,"8,486",0,410,"4,901,352","1,410,110","2,007,418,617",26518333.33
23-Oct,"1,351",15.8,21,11.5,31,"9,915",0,508,"3,053,260","3,602,960","5,010,305,090",26518333.33
23-Nov,"1,310",6.8,11.5,2.9,81.9,"8,248",0,100,238420,"2,972,070","4,121,393,620",26518333.33
23-Dec,"1,304",1.1,5.2,2.5,85.9,"9,761",0,0,0,"2,048,370","3,090,858,160",26518333.33
24-Jan,1323.57,0.5,3.6,3.9,18.9,"9,868",0,600,"10,370,171","4,295,123","5,984,018,798",0
24-Feb,1331.74,3.8,8.2,0.2,74.7,"9,864",0,239,"2,156,087","1,472,500","2,324,656,046",0
24-Mar,1330.7,6.8,11.7,2.4,29.9,"9,785",0,0,0,0,0,0
